pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	0.0011153245594468	0.063167927321396	0.437508117035567	1.60828086036071	4	101	IL1B;UBE2C;IL1A;CDC20;AURKB;HASPIN;SKA1;EREG;TNF;IGF1;CCDC8;CD28;AURKA;BORA;CCNB1;DLGAP5;MKI67;USP44;CENPF;FGF8;BMP7;TEX14;BUB1;DUSP1;SPC25;NUF2;PDGFRB;XRCC3	1.19950337302883
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.00134861766689144	0.0700157338727804	0.429725246507591	1.5997729949727	5	110	SCT;IL1B;APOA5;IFNG;ANGPTL3;APOC2;CGA;APOA2;TNF;PCK1;LDLR;CHP1;CYP7A1;SLC45A3;PTGS2;MFSD2A;ADM;HTR2B;WNT4;GDF15;HTR2A;STARD4	1.15480435475286
GOBP_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.00151482363124865	0.0705709107385591	0.590080738362051	1.77575730333366	6	34	IL1B;APOA5;APOC2;CYP7A1;SLC45A3;PTGS2;BRCA1;ANGPTL4;INSIG1;AVP;INSIG2;TRIB3;ERLIN1	1.15137427783045
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	0.00158586316266425	0.0705709107385591	0.460940013468261	1.63205815692179	6	80	AIF1;CYP1A1;UBE2C;CDC20;SKA1;CDC25A;CCNB1;TGFB1;DLGAP5;FGF10;RRM2;CCND2;PBX1;CCNE1;MEPCE;DTL;DDX3X;CDK1;SKA3;ADAM17;RAD51B;FBXO5;DDR2;KMT2E;CENPJ;RRM1;STIL;ANXA1;CUL3;MTA3;CDK4;CDC25B;RRM2B;CPSF3	1.15137427783045
GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	0.00195567144719687	0.08122555410691	0.565214614704231	1.74966439566262	8	39	IL1B;UBE2C;IL1A;CDC20;SKA1;EREG;TNF;IGF1;CD28;AURKA;DLGAP5	1.09030731728981
GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.00271059216013344	0.0996295210426717	0.761467884400081	1.7931779624726	12	12	APOA5;APOC2;SORL1;PIK3CG	1.00161195749712
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.00271862256456729	0.0996295210426717	0.452239948044778	1.60125368708783	11	80	IL1B;APOA5;IFNG;APOC2;CGA;TNF;PCK1;LDLR;CHP1;CYP7A1;SLC45A3;PTGS2;MFSD2A;ADM;HTR2B;WNT4;HTR2A;STARD4;APOE;AVP;SPHK2	1.00161195749712
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.0034767492394611	0.120334154232459	0.548469093003287	1.69782737244221	15	39	IL1B;AHSG;PRKCB;PRKCQ;PTPRJ;TRIM72;PID1;PTPN1;PTPN2;PIP4K2A;KANK1;TRIB3	0.919611090120836
GOBP_RESPONSE_TO_LIPOPROTEIN_PARTICLE	0.00407637845955804	0.133662304226561	0.587250371344619	1.7340641520648	18	31	FCER1G;TLR4;ITGB2;SYK;LDLR;TLR6;TGFB1;TREM2;TICAM1;ADTRP;ABCA1;APOE;CD68	0.873991056273416
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	0.00521920668058455	0.162578288100209	0.662621218667359	1.72963520651687	24	18	UBE2C;CDC20;AURKB;SKA1;DLGAP5	0.788937453747337
GOBP_RESPONSE_TO_BACTERIAL_LIPOPROTEIN	0.00723289935937177	0.178980338298976	0.821526786776233	1.67047152216004	34	7	TLR10;TLR1;CD14;TLR6;TLR2	0.747194675373528
GOBP_CHOLESTEROL_EFFLUX	0.00655021834061135	0.178980338298976	0.485327725626043	1.58815227802709	29	50	PON1;APOB;APOA5;APOF;APOC2;APOA2;APOM;TREM2;TSKU;ABCG5;NFKB1;SOAT1;CETP;LRP1;ABCA1;APOE	0.747194675373528
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	0.0067476383265857	0.178980338298976	0.440868186574324	1.54154515424743	29	74	IL1B;CYP1A1;CYP2S1;HPGD;ATP6V1B1;HPGDS;CYP2E1;ELOVL4;ELOVL3;PTGS1;TBXAS1;ACSL1;PTGS2;CTHRC1;ACOT8;PLA2G4A;PTGES;CES2;AVP;CYP1B1;PNPLA8;EHHADH;ABHD12;CYP2J2	0.747194675373528
HALLMARK_BILE_ACID_METABOLISM	0.00718616662923872	0.178980338298976	0.405886213805403	1.49249219355994	31	102	GNMT;SLC23A1;GC;AGXT;NR0B2;LCK;AKR1D1;TTR;SLC22A18;PEX11A;ALDH8A1;SLC27A2;CYP7A1;ABCA9;HSD17B6;HAO1;ACSL1;CYP8B1;CAT;AR;SLC29A1;DHCR24;SLC35B2;NR1I2;ABCA1;ABCA6;DIO1;ATXN1;ALDH1A1;IDH2;RXRA;ISOC1;PNPLA8	0.747194675373528
GOBP_MITOTIC_NUCLEAR_DIVISION	0.00610758750293634	0.178980338298976	0.33317219641484	1.36456698477402	25	240	IL1B;UBE2C;IL1A;CDC20;AURKB;HASPIN;KNSTRN;SKA1;EREG;KIFC1;TNF;IGF1;KIF18B;CCDC8;CD28;RIPOR2;ANLN;AURKA;BORA;CCNB1;TGFB1;DLGAP5;UBE2S;MKI67;CCSAP;NCAPG;USP44;CENPF;EML4;FGF8;BMP7;TUBG1;TEX14;BUB1;DUSP1;SPC25;CEP85;UBXN2B;CENPI;KATNB1;TPX2;MISP;CENPK;NUF2;PDGFRB;XRCC3;KIF22;NUSAP1;CDCA8;CDK1;SKA3;KIF2C;CHAMP1;NEK2;MZT1;NCAPH2;SMC4;BUB3;BMP4;FBXO5	0.747194675373528
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.00746948442339224	0.178980338298976	-0.466289233056503	-1.5551831240609	40	65	SLC6A15;SLC13A5;SLC6A11;SLC6A5;SLC22A11;SLC18A1;SLC39A2;RHCG;SLC22A16;SLC44A4;SLC30A2;SLC30A8;SLC30A3;SLC47A1;SLC22A8;SLC44A3	0.747194675373528
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	0.0079232693911593	0.182822104840453	0.733811363330716	1.72804972119514	37	12	APOB;APOC2;APOA2;MTTP;APOC4;ABCA1;APOE;BMP1	0.737971295309819
GOBP_RESPONSE_TO_INSULIN	0.0102635875903895	0.228364823886167	0.327863417944306	1.33288255548755	43	221	IL1B;AHSG;IGFBP1;HMGCS2;G6PC1;FUT7;PLA2G1B;SESN2;PRKCB;SORL1;IGF1;UCP2;PCK1;PRKCQ;FBP1;IL10;PTPRJ;LYN;PCK2;KHK;OTC;RBP4;TNFRSF11A;COL1A1;SLC2A1;FOS;TRIM72;PID1;CAT;PTPN1;PIK3R1;PKLR;INSIG1;ERRFI1;PTPN2;CRY1;PIP4K2A;UCP3;EGR1;KANK1;SOCS7;TRPV4;INSIG2;SYAP1;ZDHHC7;TRIB3;SLC2A8;RHOQ;SREBF1;ATP2B1;STAT1;SLC2A4;BCAR1;CPEB2;LPIN2;VAMP2;GAB1;GOT1;SORT1;ALAS1;SIK2;EPM2AIP1;PRKAA1;PDE3B;NDEL1;NAMPT;FABP3	0.641370791707495
