pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.031023102310231	0.254892516278655	0.537743347355634	1.65031973019165	46	12	BAD;AKT3;YWHAB;YWHAZ;AKT2;YWHAG;PPP3CC;BCL2	0.593642915360848
GOBP_REGULATION_OF_ADIPONECTIN_SECRETION	0.0317519611505417	0.257402565060391	0.775173741786384	1.68865105546397	84	5	IL1B;RAB11FIP3;PPARG;RAB11FIP5	0.589387129591605
GOBP_AUTOPHAGY_OF_MITOCHONDRION	0.0333333333333333	0.25982905982906	0.386261056141988	1.99876559553013	0	95	USP36;MARK2;PPTC7;TP53;HTRA2;DELE1;ATG2B;ARFIP2;ADCY10;BNIP3L;MUL1;GBA1;FKBP8;SPATA33;NOD2;PARL;PARK7;ATG4A;RETREG1;CERS1;ATG3;WDR45B;SLC25A43;HAX1;WIPI1;FUNDC2;RNF41;SREBF1;ATG5;ATG4D;OGT;CCND2;UBE2A;ATP5IF1	0.585312278137408
GOBP_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION	0.0330578512396694	0.25982905982906	0.43691557505306	1.54541057555809	35	18	DCN;ADCY10;PARP1;GCLM;LRRK2;IFI6;HSH2D;RACK1;BOK	0.585312278137408
GOBP_OXIDATIVE_PHOSPHORYLATION	0.0333333333333333	0.25982905982906	0.267937058016679	1.38292102317256	0	96	FXN;MSH2;NDUFV1;MACROH2A1;ATPSCKMT;TEFM;PARK7;SIRT3;NDUFB4;RHOA;ISCU;ATP5F1C;UQCRC1;NDUFS8;VCP;CDK1;DGUOK;DLD;NDUFB2;SLC25A51;ATP5F1A;COX8A	0.585312278137408
GOBP_MITOTIC_CYTOKINESIS	0.0338983050847458	0.260888221411714	0.263265010385752	1.30716265501352	1	80	RAB35;UNC119;CHMP4B;RAB11FIP3;STMN1;CKAP2;RAB11A;KIF23;RHOA;TTC19;SPAST;KIF20B;EXOC3;MTMR3;EXOC6;ECT2;IQGAP1;PDCD6IP;VPS4B;MYH10;CFL1;ARF6;SNX33;EXOC8;MTMR4;CHMP2A;RACGAP1;AURKB;INCENP	0.583545527995869
GOBP_MITOCHONDRIAL_TRANSLATIONAL_ELONGATION	0.0347403810235338	0.261485529245092	0.767825149854574	1.67264276357676	92	5	TUFM;GFM1;MRPL44	0.582552340230352
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	0.0348360655737705	0.261485529245092	0.332731270640637	1.39490059704183	16	34	CCND3;CDKN1A;CDK2;CDC23;CDKN1B;ANAPC4;UBE2C;CDC26;CDK4;ANAPC2;TFDP2;UBE2S;CCND2;ATRX	0.582552340230352
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	0.0354978354978355	0.263203463203463	0.432544671958474	1.49922459544663	40	17	TENT4A;SMC4;KMT5A;AKAP8;SMC2	0.579708400619409
GOBP_CELLULAR_RESPONSE_TO_INSULIN_LIKE_GROWTH_FACTOR_STIMULUS	0.0363924050632911	0.264923747276688	0.604091885111176	1.66405894168014	68	9	TGFB1;CACNA2D3;FBN1;CFL1;SYAP1;CCNA2;CREB1	0.576879110600545
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION_MICROTUBULE_MEDIATED	0.0366430260047281	0.264923747276688	0.390398804490083	1.47045647030265	30	23	KIFBP;TRAK1;TRAK2;SPAST;MAP1B;UXT;OPA1;FEZ1;HSBP1;HIF1A;WASF1;SYBU;LRPPRC;KIF5B	0.576879110600545
REACTOME_MITOTIC_PROPHASE	0.037037037037037	0.264923747276688	0.258563737152499	1.28084409657379	1	81	NUP210;LMNB1;LPIN1;SMC4;GORASP1;KMT5A;MAPK1;NUP205;AAAS;EMD;NCAPG2;SMC2;NUP35;MASTL;LMNA;RAE1;PRKCB;H2AC20;RAB1B;CDK1;NUP54;LEMD3;GORASP2;RAB1A;SEC13;NUP133;NUP107;NUP153	0.576879110600545
GOBP_MITOTIC_NUCLEAR_MEMBRANE_DISASSEMBLY	0.038830297219559	0.274521171040603	0.62955646163483	1.67614982074686	80	8	LPIN1;PRKCB;CDK1	0.561424157182695
GOBP_MITOCHONDRIAL_TRANSLATION	0.04	0.276363636363636	0.308841301937105	1.63647142406272	0	104	MRPL9;HARS1;MRPL28;TRMT10C;MRPL53;MRPS2;RCC1L;MRPL3;GARS1;MRPS26;TUFM;MRPS18B;MTRF1L;CHCHD1;MRPL14;MRPS7;MRPS25;OXA1L;MRPS12;TACO1;GFM1;MRPL2;MRPL21;MRPL32;MRPS6;SARS2;RMND1;DARS2;MRPS23;MRPS27;MRPS16;MRPL44;DDX3X;MRPS30;MRPL22;MRPS18C;MRPS33;MRPL39;MRPL11	0.558519101549471
