pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	0.0594423987375066	0.335033726165051	0.464416207687935	1.43787722291539	112	18	AKR1D1;CYP8B1;CYP7A1	0.474911472515011
GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.0596930073905628	0.335033726165051	0.440349270809605	1.42995148851493	104	21	CHIT1;RENBP;CHI3L1;CHST3	0.474911472515011
GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX	0.0593772628530051	0.335033726165051	0.376874672741512	1.3440349602135	81	31	TREM2;PON1;NFKB1;ABCG1;ABCA8;PLTP;NR1H3;SIRT1;ABCA7;CETP;TTC39B	0.474911472515011
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS	0.0616308470290771	0.340080407055739	0.748563575953665	1.54862261214766	194	5	PCK1;NR1H3;RXRB;NRIP1	0.468418388216317
GOBP_REGULATION_OF_EXIT_FROM_MITOSIS	0.0616839261593877	0.340080407055739	0.52591389815036	1.48535546915499	136	13	TGFB1;RGCC;CDC14A	0.468418388216317
GOBP_LIPOPROTEIN_LOCALIZATION	0.062685093780849	0.340222642302037	0.48662878128707	1.46225421813112	126	16	PRKCB;CUBN;UNC119;MSR1	0.468236786844523
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.0628019323671498	0.340222642302037	0.345511946120063	1.33023664688716	64	42	GZMB;RAC2;USP36	0.468236786844523
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	0.0641330166270784	0.34443852895405	0.433324733250912	1.41921206919552	107	22	CD247;CD3G;SYK;ITPR2;PLCG1;ITPR1;PLD4;PRKCD;PRKCE	0.46288827424443
GOBP_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	0.0647342995169082	0.344696312812255	0.342661103660626	1.31926077425343	66	42	AIF1;RGCC;CCND3;PLCB1;CCND2;ANXA1;DDX3X;CCNE2;CCNE1;UBE2E2;MEPCE;KMT2E;SASS6;RRM1	0.462563362179102
GOBP_RESPONSE_TO_BACTERIAL_LIPOPROTEIN	0.0670859538784067	0.354191095476673	0.663781478838795	1.54261947844861	191	7	CD14;TLR1;TLR10;TLR6;TLR2	0.450762361367164
GOBP_CELLULAR_RESPONSE_TO_INSULIN_LIKE_GROWTH_FACTOR_STIMULUS	0.0693374422187981	0.361508704061896	0.593494280966178	1.50516158586694	179	9	IGF1;TGFB1	0.44188124171511
GOBP_FATTY_ACID_TRANSPORT	0.0696324951644101	0.361508704061896	0.282581537965386	1.22497231054817	35	80	IL1B;PTGS2;PTGES;SLCO2B1;UCP2;TNFSF11;FABP1;PLA2G2D;SLC22A7;P2RX7;SYK;ANXA1;LYN;ACSL1;PLA2G4A;OXT;PNPLA8;SLC2A1	0.44188124171511
GOBP_LIPID_CATABOLIC_PROCESS	0.0714285714285714	0.364754098360656	0.259031937989964	1.27977189037762	0	272	IL1B;SCT;APOC2;CYP24A1;CPS1;SULT2A1;APOA2;PIK3CG;AKR1D1;AOAH;ADTRP;APOA5;CYP1B1;HPGD;ANGPTL3;CYP7A1;DPEP1;LDLR;LPL;APOC1;LIPN;PLA2G2D;HSD17B11;PCK1;PDE3B;PLA2G7;PLCB1;ABHD15;HAO1;TNF;PLA2G4A;DPEP2;GPCPD1;OXCT1;PNPLA8	0.437999819693817
